Date,Ticker,Event
11/1/2020,GOOGL,TensorFlow Launch
5/8/2020,GOOGL,GOOGL Duplex
12/1/2020,GOOGL,AlphaFold
2/1/2023,GOOGL,Bard AI
1/1/2023,MSFT,Azure AI Launch
11/1/2022,MSFT,OpenAI Partnership
2/1/2023,MSFT,AI-Powered Bing
10/4/2023,APPL,purchasing over 30 AI startups
6/5/2023,APPL,AI Improvements in Siri
11/6/2024,AMZN,Generative AI Shopping Assistant
11/1/2021,AMZN,AI in Shopping and Cloud Services
11/14/2023,AMZN,Generative AI in AWS
4/30/2024,AMZN,Launch of Amazon Q
3/18/2024,NVDA,GTC Keynote
3/1/2023,NVDA,AI Supercomputing
8/1/2023,NVDA,GH200 Superchip
